Date,0C Magnetic Field - X ([nT]),0B Magnetic Field - Y ([nT]),0A Magnetic Field - Z ([nT]),
03-09-2015 20:35:00,-5020.39999999999,44707.4,67778.6,
03-09-2015 21:37:00,-4753.00000000001,44102.6,68315.4,
03-09-2015 22:39:00,-5017.19999999999,43960.8,67722.8,
03-09-2015 23:41:00,-5173.79999999998,44638.4,67528.4,
03-10-2015 00:43:00,-8235.20000000002,47196.6,64130.6,
03-10-2015 01:45:00,-10072.2,49911,61516.2,
03-10-2015 02:47:00,-10174.2,50445.6,59751.6,
03-10-2015 03:49:00,-10269,50939,60953,
03-10-2015 04:51:00,-10086.8,49734.8,61215.4,
03-10-2015 05:53:00,-10046.8,49662.4,61569.8,
03-10-2015 06:55:00,-10136.2,50292.8,60714,
03-10-2015 07:57:00,-10268,49911,60689.6,
03-10-2015 08:59:00,-10337.4,48932.2,60667.6,
03-10-2015 10:01:00,-4340.79999999999,42325.6,70888.8,
03-10-2015 11:03:00,-4931.8,44402.4,69425,
03-10-2015 12:05:00,-4578.39999999998,43691.4,69766.6,
03-10-2015 13:07:00,-4599.00000000002,43945.6,70118.8,
03-10-2015 14:09:00,-4068.40000000002,43112.6,70822.6,
03-10-2015 15:11:00,-4052.80000000001,42888.4,71149,
03-10-2015 16:13:00,-4503.00000000001,43336,70822.8,
03-10-2015 17:15:00,-4257.19999999998,43678.6,70332.4,
03-10-2015 18:17:00,-4010.39999999999,44480,70052.2,
03-10-2015 19:19:00,-4311.40000000001,45282.8,69016.6,
03-10-2015 20:21:00,-4416.39999999999,43755.2,69044.2,
03-10-2015 21:23:00,-4799.40000000001,43551.6,68696.4,
03-10-2015 22:25:00,-4878.20000000001,43251.6,68544.8,
03-10-2015 23:27:00,-5114.8,44779.4,67593.4,
03-11-2015 00:29:00,-5418.60000000001,45141,67039.6,
03-11-2015 01:31:00,-5176.8,44732.8,67509.6,
03-11-2015 02:33:00,-5793.60000000002,45005.4,66297.6,
03-11-2015 03:35:00,-5554.39999999998,45108.6,66517.8,
03-11-2015 04:37:00,-5442.20000000002,45492.2,66502.8,
03-11-2015 05:39:00,-5629.00000000002,45980.8,66055.2,
03-11-2015 06:41:00,-8449.99999999998,48046,63297.4,
03-11-2015 07:43:00,-10166.8,50084.4,60182.4,
03-11-2015 08:45:00,-9788.59999999999,49288.8,60934.2,
03-11-2015 09:47:00,-4458.20000000001,42358,70518.4,
03-11-2015 10:49:00,-4549.40000000001,42655.2,70423.6,
03-11-2015 11:51:00,-4400.79999999998,43844.6,70143,
03-11-2015 12:53:00,-4391.20000000002,43929.4,70105.2,
03-11-2015 13:55:00,-4120.59999999999,43080.4,71085.2,
03-11-2015 14:57:00,-4130.2,42421,70875,
03-11-2015 15:59:00,-4573.60000000002,43990.2,70184.6,
03-11-2015 16:00:00,-4479.59999999998,43904.4,70312.2,
03-11-2015 17:05:00,-4253.39999999999,44212.6,70313.6,
03-11-2015 18:07:00,-4217.40000000002,43419.4,70643.4,
03-11-2015 19:09:00,-4443.99999999998,44879.8,69299.6,
03-11-2015 20:11:00,-4877.2,45403.4,68431.6,
03-11-2015 21:13:00,-4538.00000000002,43897.4,68856.6,
03-11-2015 21:24:00,-4493.20000000002,43826.4,68958.6,
03-11-2015 22:26:00,-4892.4,42870.8,69404.6,
03-11-2015 23:28:00,-4735.99999999998,43822.8,69358.8,
03-12-2015 00:30:00,-5084.40000000001,44499.2,67818,
03-12-2015 01:32:00,-5269.2,44047.8,67844.8,
03-12-2015 02:34:00,-5116.80000000001,44876.4,67760.2,
03-12-2015 03:36:00,-5242.2,44733,67593,
03-12-2015 04:38:00,-5306.4,44828.8,67387.4,
03-12-2015 05:40:00,-5664.60000000002,44874.2,67201.2,
03-12-2015 06:42:00,-5682.19999999999,45220.4,66812.2,
03-12-2015 07:44:00,-5751.39999999998,45141.6,66558.6,
03-12-2015 08:46:00,-5944.40000000001,45548.2,66218.8,
03-12-2015 09:48:00,-4686.2,43895,68711,
03-12-2015 10:50:00,-4885.99999999999,43199.6,70362.4,
03-12-2015 11:52:00,-4771.59999999999,44030.8,69581,
03-12-2015 12:54:00,-4545.00000000002,43138.8,69795,
03-12-2015 13:56:00,-4411.59999999998,42676.6,69866.2,
03-12-2015 14:58:00,-4906.4,44094.8,68847.8,
03-12-2015 16:00:00,-4724.40000000001,43683.8,69126.8,
03-12-2015 17:05:00,-4545.60000000002,44143.8,68942.8,
03-12-2015 18:07:00,-4604.79999999999,44131.6,68941.4,
03-12-2015 19:09:00,-6249.80000000002,46233.2,65781.2,
03-12-2015 20:11:00,-8540.4,48496.6,63377.8,
03-12-2015 21:13:00,-9999.40000000001,50011.2,61556.2,
03-12-2015 22:15:00,-10276,50219.2,61341.6,
03-12-2015 23:17:00,-10162.8,49453.6,61927,
03-13-2015 00:19:00,-10208,50400.4,61649.8,
03-13-2015 01:21:00,-10200.6,48857.6,62296,
